timestamp,X,Y,Z
1764067957093,-0.006016,0.000477,-0.185975
1764067957103,-0.009193,-0.013826,-0.13286
1764067957113,-0.019371,0.007477,-0.090243
1764067957123,-0.003966,-0.003951,-0.058988
1764067957133,-0.007188,0.00433,-0.050159
1764067957143,0.013358,0.01883,-0.060475
1764067957153,-0.002013,-0.00103,-0.073441
1764067957163,0.005276,0.018965,-0.076444
1764067957173,-0.008033,-0.007857,-0.106378
1764067957183,-0.007664,-0.011839,-0.117709
1764067957193,0.001806,-0.015978,-0.108834
1764067957203,-0.003455,-0.0045,-0.080716
1764067957213,-0.010045,0.011886,-0.030994
1764067957223,-0.00835,0.009791,0.022493
1764067957234,-0.001786,-0.003571,0.094747
1764067957244,-0.008232,-0.015122,0.146401
1764067957254,-0.01428,0.00069,0.188205
1764067957264,-0.00553,0.007637,0.186448
1764067957274,-0.004876,-0.006544,0.150381
1764067957284,0.000383,0.010285,0.118647
1764067957294,-0.011238,0.010284,0.068537
1764067957304,-0.003848,-0.009557,0.018978
1764067957314,0.000647,-0.012786,-0.026728
1764067957324,-0.005191,-0.007792,-0.05533
1764067957334,-0.009849,0.014369,-0.063577
1764067957344,-0.002355,-0.020324,-0.035049
1764067957354,0.002369,0.014063,0.007911
1764067957365,-0.015367,-0.012451,0.03144
1764067957375,-0.00542,-0.003715,0.058871
1764067957385,0.001595,0.019957,0.08973
1764067957395,-0.003198,-0.011121,0.087191
1764067957405,0.000587,0.000929,0.060277
1764067957415,0.002035,-0.014301,0.031858
1764067957425,-0.003703,0.029006,-0.023914
1764067957435,-0.007837,0.018894,-0.09472
1764067957445,0.005537,0.013748,-0.141804
1764067957455,-0.007099,-0.002207,-0.154033
1764067957465,0.004816,-0.001657,-0.14124
1764067957475,0.000028,-0.013812,-0.121954
1764067957485,-0.005233,-0.02469,-0.094903
1764067957495,0.002955,-0.006642,-0.064319
1764067957506,-0.00626,-0.005246,-0.048868
1764067957516,-0.007495,-0.031364,-0.056409
1764067957526,0.006552,0.015443,-0.064089
1764067957536,-0.008934,0.017806,-0.088489
1764067957546,0.003414,0.005134,-0.113091
1764067957556,-0.005315,0.006411,-0.132824
1764067957566,-0.000519,-0.029428,-0.141808
1764067957576,-0.013921,0.019973,-0.142193
1764067957586,-0.001928,-0.003352,-0.137651
1764067957596,-0.004486,0.006133,-0.127361
1764067957606,-0.001148,0.022498,-0.102799
1764067957616,-0.001827,0.003259,-0.07399
1764067957626,-0.004147,0.003546,-0.0613
1764067957636,0.003769,0.020177,-0.054986
1764067957647,0.000359,0.009547,-0.06099
1764067957657,-0.002724,-0.009553,-0.063758
1764067957667,0.002969,-0.009909,-0.068234
1764067957677,-0.009556,0.000347,-0.087858
1764067957687,0.004314,0.007879,-0.103242
1764067957697,-0.016157,-0.020548,-0.122921
1764067957707,0.007082,-0.00904,-0.125397
1764067957717,-0.004896,-0.009146,-0.113758
1764067957727,0.007853,0.019866,-0.075898
1764067957737,-0.015507,-0.010543,-0.052725
1764067957747,-0.003817,-0.013751,-0.040458
1764067957757,-0.004788,-0.015404,-0.021924
1764067957767,0.000293,0.015381,-0.008193
1764067957777,-0.00425,0.004276,-0.024902
1764067957788,-0.009913,0.022843,-0.040343
1764067957798,-0.005977,-0.002859,-0.069638
1764067957808,-0.007752,-0.020314,-0.099416
1764067957818,-0.009679,0.00499,-0.111233
1764067957828,-0.001713,0.00745,-0.140735
1764067957838,-0.004259,0.001098,-0.169254
1764067957848,0.00094,0.010244,-0.151116
1764067957858,-0.005667,-0.005597,-0.103413
1764067957868,0.003932,0.029204,-0.069507
1764067957878,-0.005502,0.006009,-0.054045
1764067957888,0.002544,0.004223,-0.048041
1764067957898,0.002769,0.003435,-0.066661
1764067957908,-0.004748,0.013851,-0.092927
1764067957919,-0.001235,0.005059,-0.115157
1764067957929,0.003918,0.006987,-0.140934
1764067957939,-0.003764,0.021883,-0.178159
1764067957949,0.001024,-0.014879,-0.213308
1764067957959,0.001856,0.000553,-0.229493
1764067957969,-0.001567,0.014594,-0.233759
1764067957979,0.001126,0.024937,-0.198851
1764067957989,-0.004337,0.002154,-0.148398
1764067957999,0.000143,0.007415,-0.099642
1764067958009,-0.002899,0.009119,-0.085446
1764067958019,-0.008654,0.005815,-0.076669
1764067958029,0.00786,0.010683,-0.063907
1764067958039,-0.00188,-0.009881,-0.038021
1764067958049,0.003265,0.01235,-0.008792
1764067958060,0.001699,0.006861,-0.009873
1764067958070,-0.004883,-0.02978,-0.020428
1764067958080,-0.001211,0.003978,-0.000772
1764067958090,-0.007685,0.015852,0.026902
1764067958100,-0.003487,-0.002955,0.039689
1764067958110,-0.002284,-0.011096,0.053979
1764067958120,-0.009434,0.006478,0.076661
1764067958130,-0.008783,-0.00412,0.097137
1764067958140,0.002028,0.019559,0.105722
1764067958150,0.002326,-0.002036,0.100409
1764067958160,0.001482,0.005982,0.076346
1764067958170,0.006924,0.004754,0.042059
1764067958180,-0.005752,0.005251,0.008136
1764067958190,0.004281,-0.002089,-0.026153
1764067958201,-0.006115,0.002235,-0.059656
1764067958211,0.000101,-0.010418,-0.09465
1764067958221,-0.002824,0.023466,-0.114232
1764067958231,-0.010774,0.00832,-0.084744
1764067958241,-0.007542,0.010355,-0.063027
1764067958251,-0.007763,0.000239,-0.056372
1764067958261,-0.004052,0.021917,-0.054526
1764067958271,-0.001623,-0.007673,-0.038537
1764067958281,0.003816,0.021623,-0.02419
1764067958291,0.000893,0.006844,-0.031133
1764067958301,-0.003223,0.004947,-0.032961
1764067958311,-0.003274,0.006168,-0.027079
1764067958321,-0.009615,-0.00539,-0.051618
1764067958332,-0.001547,0.005071,-0.067692
1764067958342,-0.004921,0.024204,-0.109131
1764067958352,-0.004318,-0.012684,-0.120502
1764067958362,0.002197,0.002666,-0.130481
1764067958372,-0.004508,0.005818,-0.129998
1764067958382,0.003048,0.005704,-0.135943
1764067958392,-0.00296,0.006361,-0.146367
1764067958402,-0.006939,0.004211,-0.176832
1764067958412,-0.001568,-0.003615,-0.186351
1764067958422,-0.00776,0.017723,-0.192488
1764067958432,0.00245,0.020666,-0.187966
1764067958442,-0.001398,-0.007726,-0.184522
1764067958452,-0.009092,-0.002781,-0.156428
1764067958462,-0.005967,0.008178,-0.130537
1764067958473,-0.003181,0.002132,-0.062761
1764067958483,0.006555,0.000888,-0.036203
1764067958493,-0.005135,-0.005925,-0.02534
1764067958503,-0.00114,0.000936,-0.016737
1764067958513,0.004276,0.016586,-0.026816
1764067958523,-0.00291,0.006066,-0.037921
1764067958533,-0.003155,0.01728,-0.070401
1764067958543,-0.006986,0.002988,-0.103855
1764067958553,0.001882,0.001307,-0.117037
1764067958563,-0.009699,-0.000295,-0.142781
1764067958573,-0.006611,0.006281,-0.161287
1764067958583,-0.00467,-0.007336,-0.155297
1764067958593,-0.002829,-0.000311,-0.145462
1764067958603,0.001858,0.00319,-0.147492
1764067958614,-0.006182,0.001451,-0.138296
1764067958624,0.00001,-0.003387,-0.121798
1764067958634,-0.000472,-0.021957,-0.103628
1764067958644,-0.002472,-0.003773,-0.087411
1764067958654,0.004971,0.010986,-0.07532
1764067958664,-0.012706,0.008291,-0.079886
1764067958674,-0.002427,-0.013607,-0.075887
1764067958684,-0.011555,-0.011604,-0.068333
1764067958694,-0.00248,-0.006355,-0.062614
1764067958704,-0.012662,-0.000218,-0.067252
1764067958714,-0.002129,0.026363,-0.076876
1764067958724,-0.009839,0.002424,-0.094803
1764067958734,0.011052,0.019651,-0.089146
1764067958744,-0.003127,0.008585,-0.076181
1764067958755,0.001287,0.007004,-0.055316
1764067958765,-0.010713,-0.029007,-0.048908
1764067958775,-0.013131,-0.004603,-0.034749
1764067958785,0.001366,0.006346,-0.005861
1764067958795,-0.015699,0.013985,-0.007467
1764067958805,0.002837,0.023024,-0.026641
1764067958815,-0.008645,0.002812,-0.056658
1764067958825,0.003707,0.0076,-0.064747
1764067958835,-0.002545,-0.005173,-0.090416
1764067958845,0.008372,0.018247,-0.109019
1764067958855,0.003586,-0.001433,-0.113629
1764067958865,0.003057,0.009062,-0.115826
1764067958875,-0.002185,0.010228,-0.114382
1764067958886,-0.007136,-0.014055,-0.125296
1764067958896,0.006446,0.017952,-0.130414
1764067958906,-0.006963,0.008273,-0.131273
1764067958916,-0.001485,0.007786,-0.12964
1764067958926,-0.008589,0.00891,-0.119099
1764067958936,0.0037,0.008346,-0.098273
1764067958946,0.000113,-0.009399,-0.102447
1764067958956,-0.004292,0.018524,-0.128205
1764067958966,-0.001582,0.014267,-0.113721
1764067958976,-0.006388,-0.023552,-0.128095
1764067958986,0.006986,0.003813,-0.168694
1764067958996,-0.006742,0.000918,-0.191863
1764067959006,0.002265,0.02133,-0.181293
1764067959016,-0.008908,0.018111,-0.187592
1764067959027,0.001863,-0.014045,-0.188716
1764067959037,-0.009189,0.001111,-0.195504
1764067959047,-0.008741,0.027844,-0.186273
1764067959057,-0.0065,0.014915,-0.190389
1764067959067,-0.005744,0.000636,-0.1824
1764067959077,-0.001271,-0.002504,-0.173055
1764067959087,-0.001744,-0.000748,-0.147866
1764067959097,0.002097,-0.013929,-0.123365
1764067959107,0.000208,0.005635,-0.104056
1764067959117,0.004989,0.001179,-0.122806
1764067959127,0.007774,-0.005361,-0.122679
1764067959137,-0.001817,-0.006267,-0.123784
1764067959147,0.002424,0.000819,-0.140577
1764067959157,-0.007956,-0.007434,-0.145319
1764067959168,0.000795,-0.017785,-0.118436
1764067959178,-0.006998,0.007301,-0.097163
1764067959188,0.000415,-0.006809,-0.080416
1764067959198,-0.00185,-0.010359,-0.078065
1764067959208,0.000704,0.025583,-0.055851
1764067959218,0.001713,0.006312,-0.049054
1764067959228,-0.012664,0.024479,-0.066332
1764067959238,0.00136,-0.006062,-0.063658
1764067959248,-0.00538,-0.005859,-0.071283
1764067959258,-0.00523,0.003211,-0.084532
1764067959268,-0.000724,-0.005777,-0.095081
1764067959278,0.001766,0.003223,-0.091864
1764067959288,-0.00434,-0.001891,-0.095288
1764067959299,-0.000213,0.010654,-0.088147
1764067959309,0.0015,-0.003655,-0.104204
1764067959319,-0.002717,-0.001059,-0.108623
1764067959329,0.004686,0.008713,-0.125052
1764067959339,0.001741,0.007287,-0.134936
1764067959349,0.010798,0.001134,-0.144724
1764067959359,0.005992,0.016423,-0.147275
1764067959369,0.018561,0.014715,-0.178762
1764067959379,0.001911,0.004356,-0.209723
1764067959389,0.008242,0.010594,-0.158297
1764067959399,0.010214,0.010909,-0.047252
1764067959409,0.002641,0.007321,0.003755
1764067959419,-0.031026,-0.004111,-0.002549
1764067959429,0.022152,0.006144,0.000328
1764067959440,-0.014907,-0.002843,-0.000267
1764067959450,0.005331,0.007322,0.000833
1764067959460,-0.004104,-0.00035,0.001198
1764067959470,-0.003524,-0.000185,-0.001743
1764067959480,0.004444,0.004398,-0.003663
1764067959490,-0.006171,-0.002593,-0.000642
1764067959500,0.002388,0.004108,-0.000164
1764067959510,-0.001699,0.000875,0.000283
1764067959520,0.002035,-0.00015,0.002488
1764067959530,-0.003323,0.002447,-0.002317
1764067959540,-0.001952,0.000181,0.001162
1764067959550,0.00105,0.00027,0.003175
1764067959560,0.001062,0.001431,0.00263
1764067959570,-0.00005,0.001436,-0.000469
1764067959581,-0.001115,0.001762,0.002567
1764067959591,-0.002701,0.000673,-0.000411
1764067959601,-0.001934,0.002593,0.000739
1764067959611,-0.001183,0.00362,-0.001002
1764067959621,-0.000779,0.001095,0.00046
1764067959631,-0.002022,0.0005,-0.001486
1764067959641,0.002805,0.001683,0.000632
1764067959651,-0.005821,-0.001245,0.001357
1764067959661,0.000873,0.000601,-0.000021
1764067959671,-0.001241,0.002586,-0.000684
1764067959681,-0.004069,0.002336,-0.002501
1764067959691,0.001977,0.001291,-0.000447
1764067959701,-0.005181,-0.000787,-0.000659
1764067959712,0.002253,0.003905,0.00213
1764067959722,-0.001586,0.001455,0.001503
1764067959732,-0.004201,0.001954,0.002218
1764067959742,0.00058,-0.000465,0.000426
1764067959752,-0.001733,0.001354,-0.001286
1764067959762,-0.000582,0.002278,-0.00155
1764067959772,-0.003721,0.00148,-0.001153
1764067959782,0.001894,0.002983,0.000087
1764067959792,-0.003906,-0.001506,-0.000346
1764067959802,0.000333,0.002228,-0.001444
1764067959812,0.000686,0.003518,0.001012
1764067959822,0.002535,0.003369,0.001075
1764067959832,0.000716,0.001386,-0.000705
1764067959842,0.000217,0.002422,0.00196
1764067959853,0.001091,0.001064,0.000408
1764067959863,-0.003083,0.002045,0.001539
1764067959873,0.001977,0.001962,0.000239
1764067959883,-0.004694,-0.000281,0.0005
1764067959893,-0.002563,0.001422,-0.001478
1764067959903,0.002132,0.000102,-0.00015
1764067959913,0.000395,-0.000906,0.000819
1764067959923,-0.004042,-0.002587,0.001275
1764067959933,-0.000299,0.002651,0.000443
1764067959943,-0.001868,0.000158,0.002322
1764067959953,-0.002971,0.000694,0.001609
1764067959963,0.002601,-0.00165,0.001484
1764067959973,-0.004694,0.000345,0.002661
1764067959983,-0.00127,0.000381,0.002127
1764067959994,-0.003908,-0.003669,0.000685
1764067960004,-0.001143,-0.000153,0.000337
1764067960014,-0.002106,0.000618,-0.000115
1764067960024,-0.003283,0.000189,0.000653
1764067960034,-0.006828,-0.00081,-0.0014
1764067960044,-0.015036,-0.004901,0.001145
1764067960054,-0.009928,-0.002684,-0.002289
1764067960064,-0.008465,-0.00552,-0.000969
1764067960074,-0.001303,0.003679,-0.003171
1764067960084,0.000965,0.005392,-0.008261
1764067960094,0.01353,0.009836,0.002572
1764067960104,0.017068,0.013799,0.003009
1764067960114,0.001656,0.005191,0.001796
1764067960124,0.001966,0.004704,0.001657
1764067960135,-0.00549,0.000704,0.001499
1764067960145,0.003559,0.00207,0.001889
1764067960155,-0.003861,0.002043,0.000398
1764067960165,0.00146,0.000578,-0.001021
1764067960175,-0.003075,0.004669,-0.00157
1764067960185,-0.001301,-0.00009,-0.000795
1764067960195,0.000824,-0.000014,0.000206
1764067960205,-0.000905,0.000029,0.001501
1764067960215,0.000183,0.00165,0.000282
1764067960225,-0.001068,0.002158,0.000493
1764067960235,0.001114,0.001162,0.001286
1764067960245,-0.001162,0.001544,-0.000216
1764067960255,-0.001888,0.001327,-0.000866
1764067960266,-0.00139,0.003064,-0.001056
1764067960276,0.000245,0.003308,-0.001367
1764067960286,-0.004932,0.00163,0.000817
1764067960296,-0.000636,0.001364,-0.000208
1764067960306,0.001012,0.001651,0.00542
1764067960316,-0.004524,0.000446,0.00056
1764067960326,-0.001526,-0.000071,0.001059
1764067960336,0.001768,0.002214,-0.000733
1764067960346,-0.004901,-0.001457,0.003465
1764067960356,0.00097,0.004705,-0.001337
1764067960366,-0.002407,0.002374,-0.001764
1764067960376,0.002442,0.004554,0.000074
1764067960386,-0.004017,-0.00123,0.004111
1764067960396,0.003649,0.000107,0.001033
1764067960407,-0.005812,-0.002552,0.003755
1764067960417,-0.003748,0.003126,0.001269
